Round,Winner
420,Standardbot
421,Standardbot
422,Standardbot
423,RLbot
424,Standardbot
425,RLbot
426,Standardbot
427,Standardbot
428,Standardbot
429,RLbot
430,Standardbot
431,Standardbot
432,Standardbot
433,Standardbot
434,Standardbot
435,Standardbot
436,Standardbot
437,RLbot
438,RLbot
439,RLbot
440,Standardbot
441,RLbot
442,RLbot
443,Standardbot
444,Standardbot
445,Standardbot
446,RLbot
447,RLbot
448,Standardbot
449,RLbot
450,RLbot
451,Standardbot
452,Standardbot
453,Standardbot
454,RLbot
455,Standardbot
456,RLbot
457,RLbot
458,Standardbot
459,Standardbot
460,Standardbot
461,Standardbot
462,Standardbot
463,RLbot
464,RLbot
465,RLbot
466,Standardbot
467,RLbot
468,Standardbot
469,RLbot
470,Standardbot
471,Standardbot
472,Standardbot
473,Standardbot
474,Standardbot
475,Standardbot
476,Standardbot
477,Standardbot
478,RLbot
479,Standardbot
480,RLbot
481,RLbot
482,RLbot
483,RLbot
484,Standardbot
485,Standardbot
486,Standardbot
487,Standardbot
488,Standardbot
489,Standardbot
490,RLbot
491,Standardbot
492,Standardbot
493,Standardbot
494,Standardbot
495,Standardbot
496,Standardbot
497,RLbot
498,Standardbot
499,Standardbot
