Round,Winner
423,Standardbot
424,Standardbot
425,RLbot
426,Standardbot
427,RLbot
428,RLbot
429,Standardbot
430,Standardbot
431,Standardbot
432,RLbot
433,Standardbot
434,Standardbot
435,RLbot
436,RLbot
437,Standardbot
438,Standardbot
439,RLbot
440,RLbot
441,Standardbot
442,Standardbot
443,RLbot
444,RLbot
445,Standardbot
446,Standardbot
447,Standardbot
448,Standardbot
449,Standardbot
450,Standardbot
451,Standardbot
452,Standardbot
453,RLbot
454,RLbot
455,Standardbot
456,Standardbot
457,Standardbot
458,Standardbot
459,Standardbot
460,Standardbot
461,Standardbot
462,RLbot
463,Standardbot
464,Standardbot
465,RLbot
466,Standardbot
467,RLbot
468,RLbot
469,Standardbot
470,Standardbot
471,Standardbot
472,RLbot
473,Standardbot
474,Standardbot
475,RLbot
476,Standardbot
477,Standardbot
478,Standardbot
479,RLbot
480,Standardbot
481,Standardbot
482,RLbot
483,Standardbot
484,Standardbot
485,Standardbot
486,RLbot
487,RLbot
488,Standardbot
489,Standardbot
490,Standardbot
491,Standardbot
492,Standardbot
493,Standardbot
494,Standardbot
495,Standardbot
496,Standardbot
497,RLbot
498,Standardbot
499,Standardbot
