Round,Winner
429,RLbot
430,RLbot
431,Standardbot
432,RLbot
433,Standardbot
434,Standardbot
435,Standardbot
436,Standardbot
437,RLbot
438,RLbot
439,Standardbot
440,Standardbot
441,RLbot
442,RLbot
443,RLbot
444,Standardbot
445,Standardbot
446,RLbot
447,Standardbot
448,Standardbot
449,Standardbot
450,Standardbot
451,Standardbot
452,Standardbot
453,Standardbot
454,RLbot
455,Standardbot
456,Standardbot
457,Standardbot
458,Standardbot
459,Standardbot
460,Standardbot
461,RLbot
462,RLbot
463,Standardbot
464,Standardbot
465,Standardbot
466,Standardbot
467,Standardbot
468,RLbot
469,RLbot
470,RLbot
471,Standardbot
472,Standardbot
473,Standardbot
474,Standardbot
475,Standardbot
476,Standardbot
477,RLbot
478,RLbot
479,Standardbot
480,Standardbot
481,Standardbot
482,Standardbot
483,RLbot
484,RLbot
485,Standardbot
486,draw
487,Standardbot
488,Standardbot
489,Standardbot
490,RLbot
491,RLbot
492,Standardbot
493,RLbot
494,Standardbot
495,RLbot
496,Standardbot
497,RLbot
498,Standardbot
499,RLbot
