Round,Winner
418,Standardbot
419,Standardbot
420,Standardbot
421,Standardbot
422,RLbot
423,Standardbot
424,Standardbot
425,RLbot
426,RLbot
427,Standardbot
428,Standardbot
429,Standardbot
430,RLbot
431,RLbot
432,RLbot
433,RLbot
434,Standardbot
435,draw
436,RLbot
437,RLbot
438,Standardbot
439,Standardbot
440,Standardbot
441,RLbot
442,Standardbot
443,Standardbot
444,RLbot
445,RLbot
446,Standardbot
447,RLbot
448,Standardbot
449,Standardbot
450,Standardbot
451,Standardbot
452,Standardbot
453,Standardbot
454,Standardbot
455,Standardbot
456,Standardbot
457,Standardbot
458,Standardbot
459,Standardbot
460,Standardbot
461,RLbot
462,Standardbot
463,Standardbot
464,RLbot
465,Standardbot
466,Standardbot
467,Standardbot
468,Standardbot
469,RLbot
470,RLbot
471,Standardbot
472,Standardbot
473,Standardbot
474,Standardbot
475,Standardbot
476,Standardbot
477,Standardbot
478,Standardbot
479,Standardbot
480,Standardbot
481,RLbot
482,RLbot
483,RLbot
484,Standardbot
485,Standardbot
486,Standardbot
487,Standardbot
488,Standardbot
489,Standardbot
490,RLbot
491,RLbot
492,RLbot
493,Standardbot
494,Standardbot
495,Standardbot
496,Standardbot
497,RLbot
498,RLbot
499,Standardbot
